Date,Clicks,Average Cost-per-click,Total Spend
22-May-15,7,0.23,$1.58 
23-May-15,3,0.17,$0.52 
24-May-15,7,0.15,$1.06 
25-May-15,1,0.35,$0.35 
26-May-15,8,0.27,$2.19 
27-May-15,6,0.25,$1.48 
28-May-15,14,0.23,$3.15 
29-May-15,25,0.28,$6.95 
30-May-15,24,0.3,$7.10 
31-May-15,20,0.26,$5.13 
1-Jun-15,1,0.11,$0.11 
2-Jun-15,0,0,$0.00 
3-Jun-15,0,0,$0.00 
4-Jun-15,0,0,$0.00 
5-Jun-15,0,0,$0.00 
6-Jun-15,0,0,$0.00 
7-Jun-15,5,0.14,$0.71 
8-Jun-15,6,0.2,$1.17 
9-Jun-15,6,0.23,$1.37 
10-Jun-15,5,0.2,$1.00 
11-Jun-15,12,0.21,$2.57 
12-Jun-15,12,0.18,$2.16 
13-Jun-15,28,0.2,$5.70 
14-Jun-15,11,0.21,$2.26 
15-Jun-15,20,0.32,$6.49 
16-Jun-15,21,0.33,$7.01 
17-Jun-15,19,0.36,$6.75 
18-Jun-15,17,0.32,$5.40 
19-Jun-15,18,0.37,$6.69 
20-Jun-15,22,0.29,$6.32 
21-Jun-15,0,0,$0.00 
22-Jun-15,0,0,$0.00 
23-Jun-15,0,0,$0.00 
24-Jun-15,0,0,$0.00 
25-Jun-15,0,0,$0.00 
26-Jun-15,0,0,$0.00 
27-Jun-15,5,0.27,$1.37 
28-Jun-15,20,0.36,$7.19 
29-Jun-15,16,0.42,$6.71 
30-Jun-15,26,0.3,$7.88 
1-Jul-15,34,0.36,$12.12 
2-Jul-15,30,0.3,$9.02 
3-Jul-15,34,0.34,$11.46 
4-Jul-15,42,0.32,$13.54 
5-Jul-15,29,0.28,$8.03 
6-Jul-15,28,0.26,$7.24 
7-Jul-15,27,0.35,$9.50 
8-Jul-15,26,0.32,$8.30 
9-Jul-15,27,0.26,$6.90 
10-Jul-15,22,0.27,$5.90 
11-Jul-15,33,0.22,$7.19 
12-Jul-15,37,0.23,$8.61 
13-Jul-15,37,0.28,$10.24 
14-Jul-15,17,0.24,$4.05 
15-Jul-15,20,0.18,$3.62 
16-Jul-15,27,0.34,$9.19 
17-Jul-15,28,0.27,$7.50 
18-Jul-15,33,0.3,$9.74 
19-Jul-15,1,0.04,$0.04 
20-Jul-15,0,0,$0.00 
21-Jul-15,0,0,$0.00 
22-Jul-15,0,0,$0.00 
23-Jul-15,0,0,$0.00 
24-Jul-15,0,0,$0.00 
25-Jul-15,0,0,$0.00 
26-Jul-15,33,0.26,$8.54 
27-Jul-15,23,0.26,$5.97 
28-Jul-15,19,0.21,$3.95 
29-Jul-15,36,0.27,$9.67 
30-Jul-15,28,0.27,$7.67 
31-Jul-15,42,0.27,$11.14 
1-Aug-15,20,0.24,$4.71 
2-Aug-15,21,0.22,$4.65 
3-Aug-15,15,0.19,$2.87 
4-Aug-15,22,0.26,$5.74 
5-Aug-15,5,0.25,$1.27 
6-Aug-15,7,0.4,$2.81 
7-Aug-15,9,0.26,$2.37 
8-Aug-15,15,0.31,$4.65 
9-Aug-15,9,0.35,$3.15 
10-Aug-15,19,0.39,$7.32 
11-Aug-15,6,0.33,$1.96 
12-Aug-15,0,0,$0.00 
13-Aug-15,0,0,$0.00 
14-Aug-15,0,0,$0.00 
15-Aug-15,0,0,$0.00 
16-Aug-15,0,0,$0.00 
17-Aug-15,0,0,$0.00 
18-Aug-15,5,0.24,$1.21 
19-Aug-15,12,0.2,$2.44 
20-Aug-15,24,0.31,$7.46 
21-Aug-15,29,0.27,$7.79 
22-Aug-15,39,0.32,$12.30 
23-Aug-15,24,0.28,$6.67 
24-Aug-15,29,0.29,$8.47 
25-Aug-15,23,0.34,$7.76 
26-Aug-15,25,0.33,$8.19 
27-Aug-15,31,0.32,$9.92 
28-Aug-15,70,0.3,$20.78 
29-Aug-15,72,0.34,$24.45 
30-Aug-15,47,0.32,$15.08 
31-Aug-15,41,0.34,$13.86 
