Date,Currency,Campaign Name,Ad Group Name,Advertised SKU,Advertised ASIN,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
5/8/2018,USD,Copper Ant Guard-Qty-3-Auto,Ad Group 1,Ant Guard Qty 3,B0763T3CTK,0,0,,,$0.00 ,$0.00 ,,,0,0,,0,0,$0.00 ,$0.00 
5/7/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,ZW-OAUA-9YZW,B00WW1H6PC,19,0,0.00%,,$0.00 ,$0.00 ,,,0,0,,0,0,$0.00 ,$0.00 
5/8/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,ZW-OAUA-9YZW,B00WW1H6PC,16,0,0.00%,,$0.00 ,$0.00 ,,,0,0,,0,0,$0.00 ,$0.00 
5/9/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,ZW-OAUA-9YZW,B00WW1H6PC,12,0,0.00%,,$0.00 ,$0.00 ,,,0,0,,0,0,$0.00 ,$0.00 
5/10/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,ZW-OAUA-9YZW,B00WW1H6PC,11,1,9.09%,$0.08 ,$0.08 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
5/11/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,ZW-OAUA-9YZW,B00WW1H6PC,19,0,0.00%,,$0.00 ,$0.00 ,,,0,0,,0,0,$0.00 ,$0.00 
5/12/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,ZW-OAUA-9YZW,B00WW1H6PC,21,1,4.76%,$0.20 ,$0.20 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
5/13/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,ZW-OAUA-9YZW,B00WW1H6PC,16,0,0.00%,,$0.00 ,$0.00 ,,,0,0,,0,0,$0.00 ,$0.00 
5/7/2018,USD,Zen Garden Auto,Ad Group 1,UK-AVWR-4MNQ,B01F7X34U2,3503,34,0.97%,$0.26 ,$8.76 ,$62.85 ,13.94%,7.17,3,3,8.82%,3,0,$62.85 ,$0.00 
5/8/2018,USD,Zen Garden Auto,Ad Group 1,UK-AVWR-4MNQ,B01F7X34U2,5174,45,0.87%,$0.29 ,$12.84 ,$83.80 ,15.32%,6.53,4,4,8.89%,4,0,$83.80 ,$0.00 
5/9/2018,USD,Zen Garden Auto,Ad Group 1,UK-AVWR-4MNQ,B01F7X34U2,5553,48,0.86%,$0.24 ,$11.75 ,$101.75 ,11.55%,8.66,5,5,10.42%,4,1,$83.80 ,$17.95 
5/10/2018,USD,Zen Garden Auto,Ad Group 1,UK-AVWR-4MNQ,B01F7X34U2,5041,43,0.85%,$0.22 ,$9.56 ,$41.90 ,22.82%,4.38,2,2,4.65%,2,0,$41.90 ,$0.00 
5/11/2018,USD,Zen Garden Auto,Ad Group 1,UK-AVWR-4MNQ,B01F7X34U2,3676,22,0.60%,$0.25 ,$5.53 ,$20.95 ,26.40%,3.79,1,1,4.55%,1,0,$20.95 ,$0.00 
5/12/2018,USD,Zen Garden Auto,Ad Group 1,UK-AVWR-4MNQ,B01F7X34U2,2604,40,1.54%,$0.26 ,$10.41 ,$106.75 ,9.75%,10.25,5,5,12.50%,4,1,$83.80 ,$22.95 
5/13/2018,USD,Zen Garden Auto,Ad Group 1,UK-AVWR-4MNQ,B01F7X34U2,2322,24,1.03%,$0.24 ,$5.83 ,$20.95 ,27.83%,3.59,1,1,4.17%,1,0,$20.95 ,$0.00 
5/7/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,MM-F0H9-2ANM,B0743N211Q,1988,11,0.55%,$0.43 ,$4.68 ,$19.95 ,23.46%,4.26,1,1,9.09%,1,0,$19.95 ,$0.00 
5/8/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,MM-F0H9-2ANM,B0743N211Q,1620,13,0.80%,$0.42 ,$5.52 ,$19.95 ,27.67%,3.61,1,1,7.69%,1,0,$19.95 ,$0.00 
5/9/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,MM-F0H9-2ANM,B0743N211Q,877,12,1.37%,$0.47 ,$5.63 ,$39.90 ,14.11%,7.09,2,2,16.67%,2,0,$39.90 ,$0.00 
5/10/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,MM-F0H9-2ANM,B0743N211Q,3643,18,0.49%,$0.30 ,$5.42 ,$19.95 ,27.17%,3.68,1,1,5.56%,1,0,$19.95 ,$0.00 
5/11/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,MM-F0H9-2ANM,B0743N211Q,3544,20,0.56%,$0.44 ,$8.76 ,$39.90 ,21.95%,4.55,2,2,10.00%,2,0,$39.90 ,$0.00 
5/12/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,MM-F0H9-2ANM,B0743N211Q,2257,14,0.62%,$0.48 ,$6.75 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
5/13/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,MM-F0H9-2ANM,B0743N211Q,1922,12,0.62%,$0.48 ,$5.80 ,$39.90 ,14.54%,6.88,2,2,16.67%,2,0,$39.90 ,$0.00 
5/7/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,P2-SF21-RVIQ,B0743MW3XV,2061,17,0.82%,$0.44 ,$7.40 ,$79.80 ,9.27%,10.78,4,4,23.53%,2,2,$35.90 ,$43.90 
5/8/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,P2-SF21-RVIQ,B0743MW3XV,1616,17,1.05%,$0.40 ,$6.87 ,$35.90 ,19.14%,5.23,2,2,11.76%,2,0,$35.90 ,$0.00 
5/9/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,P2-SF21-RVIQ,B0743MW3XV,860,14,1.63%,$0.46 ,$6.41 ,$20.95 ,30.60%,3.27,1,1,7.14%,0,1,$0.00 ,$20.95 
5/10/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,P2-SF21-RVIQ,B0743MW3XV,2618,18,0.69%,$0.39 ,$7.07 ,$71.80 ,9.85%,10.16,4,4,22.22%,4,0,$71.80 ,$0.00 
5/11/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,P2-SF21-RVIQ,B0743MW3XV,1433,11,0.77%,$0.30 ,$3.35 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
5/12/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,P2-SF21-RVIQ,B0743MW3XV,1879,19,1.01%,$0.32 ,$6.03 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
5/13/2018,USD,Zen Gardens-4-Manual-1,Ad Group 1,P2-SF21-RVIQ,B0743MW3XV,1432,14,0.98%,$0.44 ,$6.13 ,$53.85 ,11.38%,8.78,3,3,21.43%,3,0,$53.85 ,$0.00 
5/7/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,T5-O6T5-NOGM,B016H5AFME,148,5,3.38%,$0.32 ,$1.60 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
5/8/2018,USD,Survival Bracelet-Toggle-Manual-1,Ad Group 1,T5-O6T5-NOGM,B016H5AFME,123,1,0.81%,$0.30 ,$0.30 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
